"UNIPROT","logFC","degree","betweenness","ExprScore","NetScore"
"P21333",-0.507268862944898,30,549.321980969639,1.43237968440224,2.76177858859389
"P23229",-0.207109419233987,32,5.06167806651553,0.753689008682763,0.717195583965582
"P23528",0.198133533277449,8,58.884126984127,0.162606043940782,0.124133437333451
"P24821",0.434390075162955,18,2.40858585858586,0.69680583480211,-0.264863348320547
"P26006",-0.118046816737682,36,45.2096903641483,0.552309511432065,1.82188110465037
"P26038",-0.197057906471603,10,9.79442769133172,0.730961527899998,-0.425125979445681
"P27824",0.939680337797061,16,198.325,1.83931791285587,1.50968410514662
"P29317",0.631462007309072,4,0,1.14240528401487,-2.56149873408879
"P31431",0.86719303998056,10,1.43420174596645,1.67541684571656,-1.12715323606339
"P39060",-0.0854677708587133,16,0.675137362637363,0.478645013695359,-0.742895609661
"P43121",1.02364729118568,4,17.815873015873,2.02917563523463,-1.17824069831999
"P48509",-0.196440053214417,14,140.592614517045,0.729564499575882,1.18736223515614
"P55072",-0.133546046498246,16,293.825648007906,0.587354827978759,1.69419112373744
"P61224",-0.899635983520945,2,0,2.31956118667854,-3.21911467338321
"P61769",0.243750575101135,8,5.11111111111111,0.265750761151342,-0.951619757182327
"P62195",0.107877697098225,4,0,0.0414714746166578,-2.56149873408879
"P62805",0.495259358786601,32,1.29255189255189,0.834437403952007,0.258896401350486
"P62805",0.495259358786601,32,1.29255189255189,0.834437403952007,0.258896401350486
"P62805",0.495259358786601,32,1.29255189255189,0.834437403952007,0.258896401350486
"P62805",0.495259358786601,32,1.29255189255189,0.834437403952007,0.258896401350486
"P62805",0.495259358786601,32,1.29255189255189,0.834437403952007,0.258896401350486
"P62805",0.495259358786601,32,1.29255189255189,0.834437403952007,0.258896401350486
"P62805",0.495259358786601,32,1.29255189255189,0.834437403952007,0.258896401350486
"P62805",0.495259358786601,32,1.29255189255189,0.834437403952007,0.258896401350486
"P62805",0.495259358786601,32,1.29255189255189,0.834437403952007,0.258896401350486
"P62805",0.495259358786601,32,1.29255189255189,0.834437403952007,0.258896401350486
"P62805",0.495259358786601,36,611.925317021688,0.834437403952007,3.04033448117654
"P62805",0.495259358786601,32,1.29255189255189,0.834437403952007,0.258896401350486
"P62805",0.495259358786601,32,1.29255189255189,0.834437403952007,0.258896401350486
"P62837",-0.40677278549574,2,0,1.20514795093456,-3.21911467338321
"P62987",-0.0720012189734547,38,368.474134243892,0.44819578615941,2.86952851017407
"P67809",0.115020822327089,2,0,0.02532015041246,-3.21911467338321
"P68363",0.198539382076095,4,0,0.163523708872418,-2.56149873408879
"P68371",0.00507006074899508,6,38,0.273929875126563,-0.401534881284755
"P98160",-0.290257725327177,18,13.4306347326509,0.941695687232141,0.41531454092778
"Q00610",-0.0886199383019459,4,77,0.485772381155731,-0.50798362042882
"Q15836",-0.0974389320444153,2,0,0.505713012535655,-3.21911467338321
"Q16543",-0.599315767345285,4,0,1.64050698825463,-2.56149873408879
"Q16777",-0.40975772866938,30,29.3333333333333,1.21189720751118,1.39569851057818
"Q71U36",1.15345940383419,6,38,2.32269387127868,-0.401534881284755
"Q71UI9",0.36541343541732,26,0,0.540842718469474,-0.390497945793844
"Q96EY5",0.431532270254372,14,0,0.690344050623337,-1.1471903702941
"Q99816",-0.0832773166655976,22,514.285102397602,0.473692176569601,2.34650436063231
"Q9H444",-0.370908515616946,16,0.142857142857143,1.12405523148753,-0.923121056410197
"Q9H9H4",0.468011389113883,16,0.142857142857143,0.772827005423378,-0.923121056410197
"Q9NZZ3",-0.329875137118364,16,0.142857142857143,1.03127463782719,-0.923121056410197
"Q9UK41",0.102929665370979,16,0.142857142857143,0.0526594717522079,-0.923121056410197
"Q9UQN3",-0.264567212682145,18,38.0025793650794,0.883606855606275,0.883961318875856
