"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"O95816",0.490764798091639,21.1574794450533,2.58739688119254,0.0443115714277155,0.522508492983238,-4.04100335348754
"Q9UHD8",2.84437607853412,23.615621261893,2.5744728678795,0.0450561268883541,0.522508492983238,-4.05815285026826
"P49755",1.07843730252597,21.3555395727218,2.57141535489416,0.0452342303239476,0.522508492983238,-4.06221170554747
"P30050",-0.565520802654031,24.1227046208129,-2.57073958125189,0.0452736968328151,0.522508492983238,-4.06310888270609
"P18827",2.76393833322609,24.108253219201,2.56423382501363,0.0456555432483673,0.522508492983238,-4.0717476983372
"Q13630",-1.87143347579274,21.9933050169082,-2.52190534427903,0.0482259024944774,0.522508492983238,-4.12802119151755
"Q9ULV4",-1.39428667459127,21.5419118112828,-2.52139899094194,0.0482575734321123,0.522508492983238,-4.12869502648979
"P10599",-0.417819618142911,27.3032521239661,-2.51757145353528,0.0484976964518786,0.522508492983238,-4.13378904459992
"P25815",1.03519314596947,27.2937000548192,2.50973098171988,0.0489935761073341,0.522508492983238,-4.14422644879192
"P12532;P17540",0.715107639332302,26.9773166658046,2.50544378220536,0.0492670170086896,0.522508492983238,-4.14993512489435
"Q9H8S9;Q7L9L4",2.60239482694693,23.5662354233054,2.50148596859111,0.049520898884914,0.522508492983238,-4.15520610400506
"P14923",0.533615767569014,25.9872301857727,2.48938455070955,0.0503058839195513,0.522508492983238,-4.17132788937891
"Q9C0H2",-1.1795572053306,21.0901476420978,-2.48841129979639,0.050369591230742,0.522508492983238,-4.17262481144739
"Q15366;P57721",2.38522653958347,22.9733684845317,2.4836374436005,0.0506833302875622,0.522508492983238,-4.17898699989798
"Q5ZPR3",0.499157892213798,21.3666561585943,2.48241367200169,0.0507640925714059,0.522508492983238,-4.18061812517026
"P20810",-0.78905014914778,21.2558605477389,-2.46199825590353,0.0521318575809431,0.522508492983238,-4.20784000015338
"O15511",0.884714824536097,25.1826622029664,2.45025623032848,0.0529362970300177,0.522508492983238,-4.22350559977786
"Q9Y490",0.681995986390788,24.7111187060447,2.44070208189968,0.0536006066192304,0.522508492983238,-4.23625668373132
"Q8IWA5",0.440314287270745,26.9834795826377,2.43607198014796,0.0539257311598563,0.522508492983238,-4.24243744338872
"Q7LG56",0.492709649094049,21.4691459128098,2.43034941697689,0.0543304716163895,0.522508492983238,-4.25007772930413
"Q96RS6",1.50933458714488,23.114930741322,2.42667324118704,0.0545921814981479,0.522508492983238,-4.25498652682939
"Q9UL46",1.00425217665446,23.7471525634165,2.4201336451032,0.0550610610018072,0.522508492983238,-4.26372011663741
"P61020",1.84978863012608,22.2747069281082,2.41068131679773,0.0557463615909818,0.522508492983238,-4.27634639565361
"O43493",-0.449200501833822,21.0336700126836,-2.40568378912872,0.0561123439346895,0.522508492983238,-4.28302327547833
"P63096;P09471;P19087;A8MTJ3",-1.58743441027384,22.6126170397547,-2.36283532837053,0.0593569234192103,0.546841443415278,-4.34030144862411
"O95466",0.661753430521312,21.0727448444343,2.35209342872249,0.0602011044967286,0.548780594675442,-4.35466817139591
"Q9Y265",1.94894031846882,22.2869183254899,2.33492881437087,0.0615764968293976,0.552458975491444,-4.3776296661731
"P31150",0.577600162587942,23.4064781443272,2.29395593567981,0.0649955166128219,0.552458975491444,-4.43245653249907
"Q00688",-0.553182056900035,21.1205864581599,-2.28557391880666,0.0657192948537246,0.552458975491444,-4.44367438900584
"P29692",2.08133984444979,23.6904335499527,2.28250514699775,0.0659863971491135,0.552458975491444,-4.44778145963024
"P17931",1.92508495485369,23.2751601149787,2.27959546579954,0.0662407073519749,0.552458975491444,-4.45167563015288
"P28838",0.975861432738569,21.1292507805527,2.26447422402324,0.0675790211819499,0.552458975491444,-4.47191315162047
"Q13228",-1.28364929901228,23.0330936184285,-2.25807183124656,0.0681542020400484,0.552458975491444,-4.48048164846172
"Q02543",-1.40420820763062,22.3258463114936,-2.25744610788588,0.0682106911362687,0.552458975491444,-4.48131906180519
"P61586",0.403271222084808,26.9015349851716,2.24878719645127,0.0689974662506035,0.552458975491444,-4.49290716117939
"P07203",-1.30240508932973,23.0773066646509,-2.24795277480126,0.0690737857534261,0.552458975491444,-4.49402382954468
"P28066",-1.63566677116923,22.0961088348602,-2.23707683089859,0.0700766794653117,0.552458975491444,-4.50857806030882
"P62277",1.59306363039272,21.8913758075098,2.21996302484433,0.0716857878576422,0.552458975491444,-4.53147709599753
"P27701",0.55095364124027,26.5487793622606,2.20738093970323,0.0728934429335478,0.552458975491444,-4.54830962011196
"P49189",-0.427643806246905,23.653307811435,-2.20319561278996,0.0732998584025157,0.552458975491444,-4.55390816439725
