"UNIPROT","Symbol","degree","betweenness","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P05362","ICAM1",18,20.2512123497418,"P05362",0.0021069614571303,25.2835476159222,0.0138301979462957,0.989447823693278,0.994039228907631,-6.55618118183572
"P05556","ITGB1",50,256.095691135989,"P05556",-0.271886660579124,26.2377835712957,-1.99857514613708,0.0963353897695281,0.553823224020285,-4.82671872200096
"P06748","NPM1",10,246.906881290752,"P06748",0.614870058659776,21.2975079228077,2.09093157526532,0.0851295666474987,0.552458975491444,-4.7038698538535
"P06756","ITGAV",34,14.6086183968999,"P06756",-0.272203883705203,23.0009080953379,-0.815614058373745,0.448213876613032,0.742166763187161,-6.19340164332535
"P07996","THBS1",32,31.8770005400461,"P07996",0.854083154033876,21.0722763460625,0.922538521121279,0.394488398419065,0.714838130504976,-6.09907890228292
"P08134","RHOC",4,1.2,"P08134;P62745",0.306601715390755,25.408830674693,1.30601254763523,0.24293166269014,0.613349329124376,-5.69856452121195
"P08238","HSP90AB1",22,1493.38782740557,"P08238;Q58FF7",-0.0693854054246685,27.3980255155683,-0.537520988565228,0.611706717035493,0.829310549866402,-6.3935149891704
"P08648","ITGA5",38,25.8264616318328,"P08648",-0.276248405137373,22.6512303721061,-0.422264656297804,0.688656616510129,0.867628966262688,-6.45484771267109
"P08670","VIM",8,202.248680530939,"P08670;P41219;P17661;P14136;Q16352;P07196;P07197;P12036",-0.010555683073342,20.7589646663425,-0.0344815056374238,0.973696430629849,0.983921947404258,-6.5556044074015
"P11021","HSPA5",12,225,"P11021",1.26650742929886,22.6232500614687,2.08153539703019,0.0862055530213568,0.552458975491444,-4.71639516154419
"P11047","LAMC1",26,4.96300097751711,"P11047",-0.224414705652311,22.9231059962401,-1.69011188736011,0.145828799884899,0.584016227066852,-5.22957649560842
"P11233","RALA",2,0,"P11233",-0.0766900559487915,25.5123763185611,-0.412569255539234,0.695342280746134,0.867674949749498,-6.45938259656727
"P12814","ACTN1",24,24.3448135713615,"P12814;P35609;Q08043",-0.0878693820188623,23.9740280056643,-0.55226749623805,0.602219976506314,0.823890204825384,-6.38470339038803
"P14625","HSP90B1",10,6.61111111111111,"P14625",0.563387747973348,22.8173136222852,0.922379965022878,0.394564233696742,0.714838130504976,-6.09922515711135
"P16070","CD44",36,619.866049017507,"P16070",-0.359436293537879,25.2611410178654,-2.14381127221445,0.07932802695788,0.552458975491444,-4.63329429821278
"P16104","H2AX",28,0,"P16104;Q8IUE6;Q96QV6",0.34033173525977,24.4080457729281,1.46894953526302,0.195992304562968,0.589337971359479,-5.50577465307173
"P16144","ITGB4",30,4.27332393698493,"P16144",-0.26953214698263,24.333927777847,-1.42777858484832,0.206986188916491,0.596250126952904,-5.55547820102522
"P17301","ITGA2",36,32.0015978281265,"P17301",-0.227981031871842,23.5891662951965,-1.16253650800449,0.292437459697594,0.653289776201386,-5.8583779105032
"P18084","ITGB5",30,4.98761389539253,"P18084",0.152541975964738,21.3476803256634,0.802607205248522,0.455102798490461,0.743776460980565,-6.20426474540527
"P21333","FLNA",30,549.321980969639,"P21333",-0.507268862944898,23.2255570596887,-1.32233240106612,0.237803809514846,0.613349329124376,-5.67975378957573
"P23229","ITGA6",32,5.06167806651553,"P23229",-0.207109419233987,24.6794898131317,-1.51748977626234,0.1837365263881,0.58753627495004,-5.44641081006171
"P23528","CFL1",8,58.884126984127,"P23528",0.198133533277449,28.2405691899146,1.2154891350109,0.273218027172543,0.634334615365744,-5.80061681204816
"P24821","TNC",18,2.40858585858586,"P24821",0.434390075162955,20.8347888867552,0.794399146574902,0.459489454378273,0.74516454586439,-6.21104913975831
"P26006","ITGA3",36,45.2096903641483,"P26006",-0.118046816737682,24.6607034221111,-0.800207418958883,0.456382174871368,0.743776460980565,-6.20625399104818
"P26038","MSN",10,9.79442769133172,"P26038;REV__Q9H446",-0.197057906471603,26.8709644899762,-1.40850822335405,0.212327280348281,0.600395711966335,-5.57852505615157
"P27824","CANX",16,198.325,"P27824",0.939680337797061,21.1617277670965,1.96415163971916,0.10088966457662,0.553823224020285,-4.87232571613129
"P29317","EPHA2",4,0,"P29317;P54762;P54760;Q15375;Q9UF33;Q06187;P29320;P54764;P29322;P54756",0.631462007309072,21.7414740367257,0.990384225568343,0.363075845138001,0.697170026362547,-6.03485391175272
"P31431","SDC4",10,1.43420174596645,"P31431",0.86719303998056,21.9845478335202,1.61156973301357,0.162031257777894,0.584016227066852,-5.32924298202459
"P39060","COL18A1",16,0.675137362637363,"P39060",-0.0854677708587133,21.2153242982114,-0.197559532992541,0.850406625920316,0.934583931531718,-6.53380597425437
"P43121","MCAM",4,17.815873015873,"P43121",1.02364729118568,20.9172968960992,3.38169417655698,0.0166460388559929,0.522508492983238,-3.0214445614137
"P48509","CD151",14,140.592614517045,"P48509",-0.196440053214417,24.8857526098601,-0.730107921870391,0.494896751312455,0.768065567449079,-6.26224655078559
"P55072","VCP",16,293.825648007906,"P55072",-0.133546046498246,24.5448712980619,-0.993669910603187,0.361606837021075,0.695892268578335,-6.03166236891242
"P61224","RAP1B",2,0,"P61224;A6NIZ1",-0.899635983520945,20.9365454036291,-1.67179879957589,0.149459066786107,0.584016227066852,-5.25295005038456
"P61769","B2M",8,5.11111111111111,"P61769",0.243750575101135,25.0759891552175,1.52994762293664,0.180710283553255,0.58753627495004,-5.43104958823786
"P62195","PSMC5",4,0,"P62195",0.107877697098225,20.9651979628165,0.564938813465237,0.59413691111903,0.819185592151441,-6.37696168335342
"P62805","H4C1",32,1.29255189255189,"P62805",0.495259358786601,24.0302811969452,1.4912681645702,0.190264177853264,0.58753627495004,-5.47857826464769
"P62805","H4C11",32,1.29255189255189,"P62805",0.495259358786601,24.0302811969452,1.4912681645702,0.190264177853264,0.58753627495004,-5.47857826464769
"P62805","H4C12",32,1.29255189255189,"P62805",0.495259358786601,24.0302811969452,1.4912681645702,0.190264177853264,0.58753627495004,-5.47857826464769
"P62805","H4C13",32,1.29255189255189,"P62805",0.495259358786601,24.0302811969452,1.4912681645702,0.190264177853264,0.58753627495004,-5.47857826464769
"P62805","H4C14",32,1.29255189255189,"P62805",0.495259358786601,24.0302811969452,1.4912681645702,0.190264177853264,0.58753627495004,-5.47857826464769
"P62805","H4C15",32,1.29255189255189,"P62805",0.495259358786601,24.0302811969452,1.4912681645702,0.190264177853264,0.58753627495004,-5.47857826464769
