"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Q9UK41",-1.77412783641017,23.5108027914492,-7.79143043137042,0.000150025061538943,0.000574660518943402,1.03149888998588
"P63241;Q6IS14",1.54277880139349,23.8966050628408,7.77960715527808,0.000151397813772624,0.000574660518943402,1.02134059210713
"P0DMV9;P0DMV8",-0.834848065966536,26.2628335910282,-7.73455231445829,0.000156761593264483,0.000588689813003858,0.982511223402089
"P14625",1.29117170995081,23.7829107035116,7.70960366390685,0.000159824591855358,0.000593874536052013,0.960928214449204
"P61160",-1.14803882497036,24.7906514663451,-7.61336838030511,0.000172294718150226,0.000633542036531561,0.877124906084752
"P26038;REV__Q9H446",0.933943641880862,27.3379363109167,7.44121200510227,0.000197467248203589,0.000718617923874917,0.724990384214836
"P60033",0.81058885282242,27.0785110820762,7.41614667877753,0.000201470189200742,0.000723945815526057,0.702598859631991
"P06733;P13929",0.807804073642213,28.8621834856164,7.40651426967285,0.000203032962427988,0.000723945815526057,0.693977462895406
"P07384",-0.987212905950585,24.0613552868048,-7.20549190361898,0.000239011537449444,0.000840914371949821,0.511934098542755
"P50995;P27216",-1.52487979812832,24.4506163448121,-7.19137826661906,0.000241798152582159,0.000840914371949821,0.498998969807294
"P62195",1.30342562593783,21.6169107757854,7.18542934670753,0.000242983756200798,0.000840914371949821,0.493540663026613
"Q9Y490",1.90736767229088,25.6648025421901,7.16889188508095,0.000246314468710985,0.000844165120922113,0.478347922312276
"P52907",-0.861644109617917,25.5178898636943,-7.03943802104276,0.000274255144998886,0.000916275746144093,0.358439219865577
"P13726",1.02476178931097,25.8013327461391,7.03829632594131,0.000274517078994396,0.000916275746144093,0.357373900395269
"P47756",-0.980517776085733,24.4230849667831,-7.02917707786997,0.000276619489844421,0.000916275746144093,0.348859761788647
"P63244",-0.877300119617907,23.2890340168245,-7.02435763356835,0.000277737974043677,0.000916275746144093,0.344356564457634
"P08865;A0A8I5KQE6",-0.80764046572278,23.1778151276529,-6.93131380634072,0.000300370303967104,0.000981765900929516,0.256934293774968
"P68371;Q9BVA1;Q13885",0.695485230417837,27.1674078156442,6.80389922467401,0.000334838918129581,0.00107615621986969,0.135705928105581
"P29508",-5.17847239742505,23.3954256312489,-6.80213697255695,0.000335346130837581,0.00107615621986969,0.134016828511372
"P13987",-0.815784329373439,28.5507713833189,-6.70285383268025,0.000365380501042386,0.0011619758276393,0.0383011051403557
"P55072",0.798488424884543,24.9441155105042,6.65056350366667,0.000382417791237608,0.00120529893131139,-0.0125517407187861
"O00410",1.5953758440252,24.9660362029634,6.51021605735264,0.000432775347304584,0.0013459155117075,-0.150571431293753
"P61978",-0.824721379522902,22.754402771894,-6.50533232360823,0.000434658267236983,0.0013459155117075,-0.155414757808582
"O14908",-1.56845826844762,23.7460082163124,-6.46685620653813,0.000449821427698424,0.00138075620850038,-0.193668983318719
"P68104;Q5VTE0;Q05639",0.757312840740237,28.6079957392811,6.40615166135077,0.000474978348268659,0.00144540824947273,-0.254373530316085
"P27105",-5.99461058132844,24.7576371537485,-6.28325386585659,0.000530939601596236,0.00160189469541429,-0.378599396420213
"P35268",-0.65164528536361,23.9245268855057,-6.22796114299292,0.000558521914285039,0.00167083250629338,-0.435077076637883
"P02545;P20700;Q03252",-2.1926454021262,26.0488617664144,-6.21475337621156,0.000565347907274447,0.00167704043082252,-0.44862239429624
"Q14126",-0.683747267674864,23.3274454740843,-6.15314878211896,0.00059845766826636,0.00176046297415021,-0.512080973788928
"Q99497",0.748221643242719,24.365634368004,6.11480284932119,0.000620171677485155,0.00180926117481206,-0.551814801733005
"P13489",0.763104730746164,24.2903093728177,6.01730127357396,0.000679507092466899,0.00196611478394111,-0.653662021153959
"P00749",-1.06588444544771,24.275926234911,-6.00349681595552,0.000688415007111144,0.00197569510170922,-0.668177218783216
"Q16543",1.73561588186859,24.611462676827,5.96837742780338,0.000711677697702567,0.0020259857039436,-0.705212343148482
"P52209",-1.4741839629141,24.8228374858687,-5.87963778955986,0.000774515131796868,0.00218723073219435,-0.799485624559404
"P07355;A6NMY6",-0.754483045226696,30.3881793430778,-5.80628947520826,0.000831201845533277,0.00232868453550196,-0.878164825591043
"O14907",-0.914968319307427,23.873182722255,-5.64986021823763,0.000968424517828463,0.00269176263616888,-1.04828799871018
"Q14847",1.32783567992626,22.8951472769551,5.63598681488879,0.000981778372784265,0.0027075606686941,-1.06353049392888
"P62424",-0.734594286960853,24.1504551780609,-5.60939401844343,0.0010079589750411,0.00275424998643387,-1.09281865930443
"P84095",0.746330720150024,23.7468268450722,5.59164393745387,0.00102587117176102,0.00275424998643387,-1.11241995729448
"Q9NV96;Q3MIR4",-0.777102531391705,22.2071385916912,-5.58994654998634,0.00102760274900654,0.00275424998643387,-1.11429656161665
"Q9BV40",0.700804830837768,21.3649335177235,5.58768219104203,0.00102991784195261,0.00275424998643387,-1.11680059637266
